entity: /year
unit of measure: petajoule
energyClass,dispType,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
"electricity","production",1.241197e+03,1.302410e+03,1.350811e+03,1.412837e+03,1.399358e+03,1.428464e+03,1.528572e+03,1.627445e+03,1.662261e+03,1.756630e+03,1.772248e+03,1.744498e+03,1.664685e+03,1.780771e+03,1.831492e+03,1.884071e+03,1.961331e+03,1.980753e+03,2.023232e+03,2.027065e+03,1.962143e+03,2.010597e+03,2.110294e+03,2.038738e+03,2.084183e+03,2.059587e+03,2.081737e+03,2.174932e+03,2.101885e+03
"electricity","use",9.502233e+02,9.886409e+02,1.033280e+03,1.079349e+03,1.077180e+03,1.105641e+03,1.166652e+03,1.263975e+03,1.327952e+03,1.390236e+03,1.496283e+03,1.558453e+03,1.509919e+03,1.555080e+03,1.570558e+03,1.617237e+03,1.637397e+03,1.670104e+03,1.714314e+03,1.705964e+03,1.666252e+03,1.704691e+03,1.776300e+03,1.764492e+03,1.814037e+03,1.837417e+03,1.835654e+03,1.869576e+03,1.836633e+03
"electricity","exports",2.985304e+02,3.202213e+02,3.281146e+02,3.388762e+02,3.324582e+02,3.327538e+02,3.703565e+02,3.731658e+02,3.521526e+02,3.788894e+02,2.986640e+02,2.318494e+02,2.187684e+02,2.483099e+02,2.842485e+02,2.933655e+02,3.537405e+02,3.373888e+02,3.312769e+02,3.548469e+02,3.499320e+02,3.581213e+02,3.833600e+02,3.387245e+02,3.297308e+02,3.114499e+02,3.288790e+02,3.754891e+02,3.521100e+02
"electricity","imports",7.556264e+00,6.452562e+00,1.058339e+01,5.388710e+00,1.028007e+01,9.930528e+00,8.436528e+00,9.695691e+00,1.784396e+01,1.249499e+01,2.269864e+01,4.580467e+01,6.400285e+01,2.261814e+01,2.331441e+01,2.653128e+01,2.980648e+01,2.674002e+01,2.235911e+01,3.374588e+01,5.404102e+01,5.221600e+01,4.936623e+01,6.447874e+01,5.958508e+01,8.927971e+01,8.279634e+01,7.013375e+01,8.685772e+01
"crudeOil","production",3.194607e+03,3.600159e+03,3.444020e+03,3.093444e+03,3.052115e+03,3.232265e+03,3.430888e+03,3.514338e+03,3.526031e+03,3.681347e+03,3.871839e+03,3.762576e+03,3.746130e+03,3.748118e+03,3.912473e+03,4.098237e+03,4.280369e+03,4.437205e+03,4.567079e+03,4.808927e+03,4.981696e+03,4.744276e+03,4.959514e+03,5.028037e+03,5.471586e+03,5.618915e+03,5.787247e+03,5.842883e+03,5.977496e+03
"crudeOil","use",3.977136e+03,4.346416e+03,4.344034e+03,4.082172e+03,3.502006e+03,3.363802e+03,3.388943e+03,3.220131e+03,3.173404e+03,3.374041e+03,3.501758e+03,3.570166e+03,3.729514e+03,3.578531e+03,3.486579e+03,3.693325e+03,3.804406e+03,3.717853e+03,3.866528e+03,4.048917e+03,4.015450e+03,4.073336e+03,4.221735e+03,4.256921e+03,4.450766e+03,4.460212e+03,4.647963e+03,4.586415e+03,4.336244e+03
"crudeOil","exports",8.142083e+02,8.730913e+02,6.406428e+02,5.078830e+02,6.459445e+02,8.377995e+02,1.017833e+03,1.322960e+03,1.499596e+03,1.590805e+03,1.769153e+03,1.683377e+03,1.715372e+03,1.932894e+03,2.130588e+03,2.300057e+03,2.439833e+03,2.629146e+03,2.805177e+03,3.051372e+03,3.258776e+03,3.066702e+03,3.334779e+03,3.328767e+03,3.657915e+03,3.751309e+03,3.896669e+03,4.027533e+03,4.189385e+03
"crudeOil","imports",1.596737e+03,1.619348e+03,1.540657e+03,1.496612e+03,1.095835e+03,9.693361e+02,9.758875e+02,1.028753e+03,1.146969e+03,1.283499e+03,1.399071e+03,1.490967e+03,1.698756e+03,1.763307e+03,1.704694e+03,1.895145e+03,1.963869e+03,1.909795e+03,2.104626e+03,2.291362e+03,2.292531e+03,2.395763e+03,2.597000e+03,2.557651e+03,2.637095e+03,2.592607e+03,2.757385e+03,2.771065e+03,2.548132e+03
"naturalGas","production",2.863730e+03,3.071149e+03,2.865120e+03,2.763693e+03,2.855523e+03,2.677188e+03,2.985279e+03,3.305378e+03,3.152722e+03,3.418782e+03,3.942088e+03,4.174730e+03,4.183783e+03,4.405959e+03,4.864489e+03,5.347995e+03,5.831342e+03,6.129266e+03,6.343370e+03,6.409470e+03,6.664076e+03,6.857100e+03,7.062109e+03,7.202050e+03,7.249882e+03,7.065218e+03,7.095654e+03,7.192483e+03,7.219723e+03
"naturalGas","use",2.330034e+03,2.452709e+03,2.548899e+03,2.503088e+03,2.606061e+03,2.559108e+03,2.843692e+03,3.021494e+03,3.092924e+03,3.096439e+03,3.389334e+03,3.589274e+03,3.431204e+03,3.513223e+03,3.667388e+03,3.798641e+03,4.014038e+03,4.174133e+03,4.387460e+03,4.285866e+03,4.076023e+03,4.221102e+03,4.383361e+03,4.247080e+03,4.544393e+03,4.634804e+03,4.602527e+03,4.664714e+03,4.729151e+03
